Entity,Code,Year,Overweight or Obese (NCDRisC (2017)),Daily calorie supply per person,Population (historical),World regions according to OWID,time,time,time,time
Switzerland,CHE,2019,64.3,3408.8606,8577525,Europe,2019,2023,2014,2014
Syria,SYR,2019,53.3,2844.4353,20353536,Asia,2019,2023,2014,2014
Taiwan,TWN,2019,42.4,2933.6597,23674137,Asia,2019,2023,2014,2014
Tajikistan,TJK,2019,39.4,2358.4983,9529970,Asia,2019,2023,2014,2014
Tanzania,TZA,2019,15.2,2376.8994,59174889,Africa,2019,2023,2014,2014
Thailand,THA,2019,26,2760.611,71522264,Asia,2019,2023,2014,2014
Togo,TGO,2019,15.7,2367.5156,8463070,Africa,2019,2023,2014,2014
Tonga,TON,2019,74.4,2966.7183,105688,Oceania,2019,2023,2019,2014
Trinidad and Tobago,TTO,2019,51.2,3044.6165,1484898,North America,2019,2023,2014,2014
Tunisia,TUN,2019,55.1,3370.114,11875084,Africa,2019,2023,2014,2014
Turkey,TUR,2019,63,3666.4033,85357670,Asia,2019,2023,2014,2014
Turkmenistan,TKM,2019,52.6,2723.7864,6803943,Asia,2019,2023,2014,2014
Tuvalu,TUV,2019,72.7,3000.5054,10603,Oceania,2019,2023,2019,2014
Uganda,UGA,2019,12.5,2234.861,42999636,Africa,2019,2023,2014,2014
Ukraine,UKR,2019,57.4,3085.3872,44957451,Europe,2019,2023,2014,2014
United Arab Emirates,ARE,2019,67.7,3407.0342,9377855,Asia,2019,2023,2014,2014
United Kingdom,GBR,2019,67.7,3351.708,67110958,Europe,2019,2023,2014,2014
United States,USA,2019,72.8,3728.9878,337790069,North America,2019,2023,2014,2014
Uruguay,URY,2019,62.9,3211.1472,3397206,South America,2019,2023,2014,2014
Uzbekistan,UZB,2019,46.8,3227.517,32964700,Asia,2019,2023,2014,2014
Vanuatu,VUT,2019,47.2,2931.852,291995,Oceania,2019,2023,2014,2014
Venezuela,VEN,2019,62.2,2876.2961,28938096,South America,2019,2023,2014,2014
Vietnam,VNM,2019,15.8,2833.538,97173778,Asia,2019,2023,2014,2014
World,OWID_WRL,2019,38.3,2863.721,7811293699,,2019,2019,2014,2014
Yemen,YEM,2019,36.8,2005.7535,35111416,Asia,2019,2023,2014,2014
Zambia,ZMB,2019,18.5,2079.1384,18513839,Africa,2019,2023,2014,2014
Zimbabwe,ZWE,2019,19.5,2099.1206,15271377,Africa,2019,2023,2014,2014
